RestaurantID,Cuisine
4SaJcfBNmlPng0ry1FCbRQ,american
QkILsb4hQkveWTyHy8y2Gg,american
ej_pg-wc-ZtexQKPPiQ_5w,american
xtGpSvJ5P1eIdbdYhbMADg,american
Mx266sT_uQ-teAwtO6TQJQ,american
obuo6FQ2tor8fNhSlHSGvA,american
JQB_i940Jqj0CFta7dHHIg,american
04NdwZnSFH3FXFBtwCrrAg,american
oMZk-gWpT44HSAmYaEMWkg,american
R0tLL3xstwMDf27US0y-Ow,american
DB6b2RRlGy0brMIM8NuieQ,american
jOsCm97RgrW8dbdMirJ7nA,american
z162DE_RK9mS03E3SIgv_Q,american
6C5iPQkwxcwhUfvbRmfC7g,american
oderonBBmlgw-Wd_KsQ6LA,american
zhOMKlwhsDLfj05PFOGcBA,american
n4m37Dm2Y5MUPF_dFGG_ww,american
4R5JKvOxYcNdl5kYxvowTA,american
UY0oHepwRFl8KoqKRArcZA,american
AGfUWlAYNlCbD2hBDnfyNQ,american
siMr4pb-VHy8GCJOgqfTqA,american
80dIz6llWEew4No641ZQKQ,american
ALlDuc7Bel0cD4O-8ebT1A,american
xDzPu1fLD4ljtjk8cHiLew,american
iJx72Bvu_iELJyhwrJvGIQ,american
7gqMugUq_VAUlPygIT-EVg,american
